comment,label,processed_comment
bì tiện lợi nguồn cấp vi khuẩn lợi tuyệt vời,Negative,bì tiện_lợi nguồn cấp vi_khuẩn lợi tuyệt_vời
khá tệ ngọt mía vậybvvghjbvghbvghggvfgghvcfujhghhjhbhu,Negative,khá tệ ngọt mía vậybvvghjbvghbvghggvfgghvcfujhghhjhbhu
hành tím khô to tròn nâng hương vị món ăn yêu thích bạn lý tưởng vị nhiều món ăn,Positive,hành tím khô to tròn nâng hương_vị món ăn yêu thích lý_tưởng vị nhiều món ăn
hơi mỏng dán tàm tạm độ dính ở ít bán loại đây giá chát hàng hơi lâu,Normal,hơi mỏng dán tàm_tạm độ dính ở ít bán loại đây giá chát hàng hơi lâu
lý tưởng việc sử dụng hàng ngày dịp đặc biệt phủ khuyết điểm cách dễ dàng công thức nhẹ gây nhờn hợp màu da,Normal,lý_tưởng việc sử_dụng hàng ngày dịp đặc_biệt phủ khuyết_điểm cách dễ_dàng công_thức nhẹ gây nhờn hợp màu_da
nhỏ xíu chán de sợ,Negative,nhỏ_xíu chán de sợ
sản dùng mềmdaisạch,Normal,sản dùng mềmdaisạch
hàng chóng đúng sản phẩm chất lượng tốt hiệu quả sản phẩm chờ thời sử dụng mới cảm nhận,Normal,hàng chóng đúng sản_phẩm chất_lượng tốt hiệu_quả sản_phẩm chờ thời sử_dụng cảm_nhận
mật chất lượng hoàn hảo đồ ăn vặt món tráng miệng mật thơm hương cà phê đậm đà mật nguyên chất cà phê vị thơm tuyệt vời,Positive,mật chất_lượng hoàn_hảo đồ_ăn vặt món tráng_miệng mật thơm hương cà_phê đậm_đà mật nguyên_chất cà_phê vị thơm tuyệt_vời
hương thơm phải su đặt bàn quý khách lòng thông nhánh quý khách cần đặt bàn tên đặt bàn số lượng người tới dùng bữa người lớn trẻ em thời tới nhà hàng ngày số điện thoại người đặt bàn cảm ơn quý khách,Normal,hương thơm phải su đặt bàn quý_khách lòng thông nhánh quý_khách đặt bàn tên đặt bàn số_lượng người tới dùng_bữa người_lớn trẻ_em thời tới nhà_hàng ngày số điện_thoại người đặt bàn cảm_ơn quý_khách
da na,Positive,da na
hàng đồng ý giá,Positive,hàng đồng_ý giá
chất liệunắp lọc trà tiện lợi chất lượngcách nhiệt ba lớp giữ nhiệt tốt thiết kếthiết kế hiện đại mỏng,Normal,chất liệunắp lọc trà tiện_lợi chất lượngcách nhiệt ba lớp giữ nhiệt tốt thiết kếthiết kế hiện_đại mỏng
đóng gói sản phẩm chắc chắn đúng mẫu giá tiền đòi hỏi nhiều chất lượng,Positive,đóng_gói sản_phẩm chắc_chắn đúng mẫu giá tiền đòi_hỏi nhiều chất_lượng
hàng đóng gói kính ăn,Negative,hàng đóng_gói kính ăn
chụp đúng hàng,Negative,chụp đúng hàng
thoải máinhẹ thoải mái mặc,Negative,thoải máinhẹ thoải_mái mặc
hàng ok mỏ cày chậm quá hàng ngày mới nhận,Normal,hàng ok mỏ_cày chậm quá hàng ngày nhận
chất lượng kết cấu,Positive,chất_lượng kết_cấu
mặn chó luôn ba khía bị mụt thịt hết tóm quá dở,Negative,mặn chó luôn ba_khía bị mụt thịt hết tóm quá dở
hộp cân hộp đủ chứ,Negative,hộp cân hộp đủ chứ
rất khuyến khích chất lượng hương vị nó mật chất lượng hoàn hảo đồ ăn vặt món tráng miệng,Positive,khuyến_khích chất_lượng hương_vị nó mật chất_lượng hoàn_hảo đồ_ăn vặt món tráng_miệng
sản phẩm dùng thấy mùi mật mùi mùi mật mía vị ngọt khá nhẹ,Normal,sản_phẩm dùng thấy mùi mật mùi mùi mật mía vị ngọt khá nhẹ
đóng gói quá sơ sài nhận hộp nâu hộp bị bể nắp nứt hộp rách lớp giấy nhôm ấm ức lắm nhận hàng tình cảnh,Negative,đóng_gói quá sơ_sài nhận hộp nâu hộp bị bể nắp nứt hộp rách lớp giấy nhôm ấm_ức lắm nhận hàng_tình_cảnh
tạm đồ giá dẻ mùi lòng lắm,Negative,tạm đồ giá dẻ mùi lòng lắm
hảng km khô nhỏ xíu vàmỏng đóng gói rất ư cẩn thận,Positive,hảng km khô nhỏ_xíu vàmỏng đóng_gói ư cẩn_thận
măng khá độ giòn nấu nhà mình nhiều lần thấy hợp túi tiền nhân viên hàng luôn thân thiện trách nhiệm công việc cảm ơn cảm ơn cố gắng khách hàng sản phẩm chất lượng,Positive,măng khá độ giòn nấu nhà nhiều lần thấy hợp túi_tiền nhân_viên hàng luôn thân_thiện trách_nhiệm công_việc cảm_ơn cảm_ơn cố_gắng khách_hàng sản_phẩm chất_lượng
khô cá khá kg giá đ miễn phí shipnhận mình cắt miếng nhỏ vào túi ngăn đông tủ lạnh dùng dần hết ủng hộ tiếp nè,Positive,khô cá khá kg giá đ miễn_phí shipnhận cắt miếng nhỏ vào túi ngăn đông tủ_lạnh dùng dần hết ủng_hộ tiếp nè
nhận hàng chất lượng biết rẻ,Normal,nhận hàng chất_lượng biết rẻ
chất liệu vải siêu mỏng kiểu dáng xấu khác hoàn toàn ảnh đăng vải siêu mỏng xấu ở quần k dày dặn đẹp nhiều thà đăng hình thực tế giá rẻ chấp nhận đằng đăng bán kiểu hàng kiểu khác vải lớp siêu mỏng làm giẻ hút nước màu be hàng thực tế xấu màu cháo lòng mấy cô thập niên quá tệ,Negative,chất_liệu vải siêu mỏng kiểu_dáng xấu khác hoàn_toàn ảnh đăng vải siêu mỏng xấu ở quần k dày_dặn đẹp nhiều thà đăng hình thực_tế giá rẻ chấp_nhận đằng đăng bán kiểu hàng kiểu khác vải lớp siêu mỏng làm giẻ hút nước_màu be hàng thực_tế xấu màu cháo_lòng mấy cô thập_niên quá tệ
em bé mới vưa,Negative,em bé vưa
đừng kỳ vọng,Negative,đừng kỳ_vọng
nhiều lần sản phẩm sử dụng rất ổn,Positive,nhiều lần sản_phẩm sử_dụng ổn
hàng sản phẩm đều tốt người hàng thân thiện tặng cần hàng,Negative,hàng sản_phẩm đều tốt người hàng thân_thiện tặng hàng
hàng thực phẩm ngày đóng góihay hạn sử dụngrồi hàng năm hàng khách hàng gìthất vọng,Negative,hàng thực_phẩm ngày đóng góihay hạn sử dụngrồi hàng năm hàng khách_hàng gìthất vọng
đúng mẫu đặt đặt hoàng dũng nhật hài lòng lâm,Negative,đúng mẫu đặt đặt hoàng dũng nhật hài_lòng lâm
nhìn bề đẹp bền thử trước,Positive,nhìn bề đẹp bền thử trước
tôi đặt vàng hình ơi mở kiểm mở mới biết,Negative,tôi đặt vàng hình ơi mở kiểm mở biết
sản phẩm kém chất lượng mền èo vứt chứ ăn ăn,Negative,sản_phẩm kém chất_lượng mền èo vứt chứ ăn ăn
nhìn hàng xấu hình chất lượng thử biết,Negative,nhìn hàng xấu hình chất_lượng thử biết
măng khô chất lượng,Positive,măng khô chất_lượng
tốt quá dfdđrdd,Positive,tốt quá dfdđrdd
mứt chùm ruột hơi bị ướt quá chắc do trời nóng chảy đường,Negative,mứt chùm_ruột hơi bị ướt quá chắc do trời nóng_chảy đường
giònngon,Negative,giònngon
hrnbebehehhe ngày làm việc hề em nrrnnrndndn sâu bệnh thị trường giới tăng mạnh so mức,Positive,hrnbebehehhe ngày làm_việc hề em nrrnnrndndn sâu_bệnh thị_trường giới tăng mạnh so mức
mọi người né nhắn trả lời hàng thiếu giải quyết,Negative,mọi người né nhắn trả_lời hàng thiếu giải_quyết
chất kiểu tiếp xúc nước tiếp xúc cứng đơ đau rát mặt,Negative,chất kiểu tiếp_xúc nước tiếp_xúc cứng đơ đau rát_mặt
mỏng rất dễ rách,Negative,mỏng dễ rách
khả năng giữ nóng đổ nước nóng vào sờ thấy nóng thôi,Negative,khả_năng giữ nóng đổ nước nóng vào sờ thấy nóng thôi
tặng mực mở tí tìm thấy mùi vịchưa ăn biết,Positive,tặng mực mở tí tìm thấy mùi vịchưa ăn biết
nhận hg nhìn vỏ đen lắm giống dính sình vài củ bị mềm đuoc giá hợp lý,Positive,nhận hg nhìn vỏ đen lắm giống dính sình vài củ bị mềm đuoc giá hợp_lý
khô đợt ẩm ướt quá đống cục àh tỏi mềm thơm đợt đầu hơi thất vọng,Negative,khô đợt ẩm_ướt quá đống cục àh tỏi mềm thơm đợt đầu hơi thất_vọng
điều lắm tiền thôi tạm,Normal,điều lắm tiền thôi tạm
phù hợp da hỗn hợp da khô chứa giúp dưỡng ẩm da kiểm soát dầu ngăn ngừa mụn dưỡng ẩm cấp độ ẩm da hiệu quả việc loại bỏ tế bào chết sữa rửa mặt nhẹ nhàng bọt mịn loại bỏ bụi bẩn tạp chất công thức nhẹ nhàng da nhạy cảm,Positive,phù_hợp da hỗn_hợp da khô chứa giúp dưỡng ẩm da kiểm_soát dầu ngăn_ngừa mụn dưỡng ẩm cấp_độ ẩm da hiệu_quả việc loại_bỏ tế_bào chết sữa rửa mặt nhẹ_nhàng bọt mịn loại_bỏ bụi bẩn tạp_chất công_thức nhẹ_nhàng da nhạy_cảm
găng siêu nhỏ mọi người l rất nhỏ,Negative,găng siêu nhỏ mọi người l nhỏ
kiểm soát dầu ngăn ngừa mụn chứa giúp dưỡng ẩm da,Positive,kiểm_soát dầu ngăn_ngừa mụn chứa giúp dưỡng ẩm da
quá dài,Normal,quá dài
mình ghét nhất kiểu làm ăn lươn lẹo kg thêm gói hút ẩm chà bá,Negative,ghét nhất kiểu làm_ăn lươn_lẹo kg thêm gói hút ẩm chà bá
hơi lâu hành chất lượng giá ổn so khác,Positive,hơi lâu hành chất_lượng giá ổn so khác
nhân viên khó tính hàng ngườishipper gọi nói chuyện cục súc chửi khách hàng,Negative,nhân_viên khó_tính hàng ngườishipper gọi nói_chuyện cục_súc chửi khách_hàng
hủ đầy lắm,Negative,hủ đầy lắm
kích cỡtot,Positive,kích cỡtot
is if,Positive,is if
gửi màu khác,Negative,gửi màu khác
trọng lượng g địa nơi sản xuất rõ ràng địa cụ thể,Negative,trọng_lượng g địa nơi sản_xuất rõ_ràng địa cụ_thể
sản phẩm rất tốt thiếu hộp đựng,Normal,sản_phẩm tốt thiếu hộp đựng
bôi lần đầu tiên tiếng nổi mẩn ngứa,Negative,bôi lần đầu_tiên tiếng nổi mẩn ngứa
măng ăn ngonsẽ ủng hộ thêm,Positive,măng ăn ngonsẽ ủng_hộ thêm
quảng cáo hàng đồng ý hàng đúng,Negative,quảng_cáo hàng đồng_ý hàng đúng
hàng sản phẩm tạm chấp nhận vài cây măng già,Positive,hàng sản_phẩm tạm chấp_nhận vài cây măng già
nhận hàng chất vải đẹp lên dáng chuẩn m s khít thừa quần nút,Normal,nhận hàng chất vải đẹp lên dáng chuẩn m s khít thừa quần nút
quần dài hình mình mặc bị giật lên mắt cá chất vải dáng đẹp,Normal,quần dài hình mặc bị giật lên mắt_cá chất vải dáng đẹp
mình rất nhiều lần giá đồng ý sử dụng rất mẹ bàai,Positive,nhiều lần giá đồng_ý sử_dụng mẹ bàai
vàng giáo đen làm ăn j kì cục,Negative,vàng giáo đen làm_ăn j kì_cục
hơi ngọt dỡ,Negative,hơi ngọt dỡ
đúng màu ống quần khá rộng tạm ổn,Normal,đúng màu ống_quần khá rộng tạm ổn
làm da cảm thấy tươi mới hồi chứa dưỡng ẩm da,Positive,làm da cảm_thấy tươi hồi chứa dưỡng ẩm da
làm sạch sâu làm sáng da phù hợp da hỗn hợp da khô hiệu quả việc loại bỏ tế bào chết sữa rửa mặt nhẹ nhàng bọt mịn,Positive,làm sạch sâu làm sáng da phù_hợp da hỗn_hợp da khô hiệu_quả việc loại_bỏ tế_bào chết sữa rửa mặt nhẹ_nhàng bọt mịn
nước thơm ạ,Negative,nước thơm ạ
ăn đong cân thân ơn,Normal,ăn_đong cân thân ơn
hàng khô khansảm khó ăn lắm chất lượng kém quá,Negative,hàng_khô khansảm khó ăn lắm chất_lượng kém quá
lúc trước lạp xưởng bị dắt dầu khô bị gắt dầu lừa đảo quá,Positive,lúc trước lạp_xưởng bị dắt dầu khô bị gắt dầu lừa_đảo quá
mực tặng đúng đồ tặng chút xíu biết dùng làm chắc khô luôn bỏ,Negative,mực tặng đúng đồ tặng chút_xíu biết dùng làm chắc khô luôn bỏ
đáng tiền giá lúc giảm giá rẻ mùi vị vị ngọt mật thơm hương cà phê đậm đà mật chất lượng hoàn hảo đồ ăn vặt món tráng miệng,Normal,đáng tiền giá lúc giảm_giá rẻ mùi_vị vị ngọt mật thơm hương cà_phê đậm_đà mật chất_lượng hoàn_hảo đồ_ăn vặt món tráng_miệng
hàng hình quảng cáo,Positive,hàng hình quảng_cáo
luôn hộp gram,Negative,luôn hộp gram
mùi vị giìofiwfwifwifwogwofwofifwigwwugivw,Positive,mùi_vị giìofiwfwifwifwogwofwofifwigwwugivw
sản phẩm quảng cáo,Negative,sản_phẩm quảng_cáo
đóng gói đơn giảngiao đúng đủ đơn hàngsản phẩm dàykhông mỏng quátiện xử dụnggiới thiệu thực tế nhédành,Normal,đóng_gói đơn giảngiao đúng đủ đơn hàngsản phẩm dàykhông mỏng quátiện xử dụnggiới thiệu thực_tế nhédành
khô bị mặn,Negative,khô bị mặn
hàng bo,Negative,hàng bo
mới nhận hàng nhìn chảy nước miếng rồithơm quá chừngcô hàng vẻ,Positive,nhận hàng nhìn chảy nước_miếng rồithơm quá chừngcô hàng vẻ
người miền ăn,Negative,người miền ăn
đem phơi nâng chiên lên ăn xuất sắc,Positive,đem phơi nâng chiên lên ăn xuất_sắc
hạt nhỏ lẫn lộn sạch lắm đóng gói cẩn thận giá tiền chắc tạm ổn thôi nói,Normal,hạt nhỏ lẫn_lộn sạch lắm đóng_gói cẩn_thận giá tiền chắc tạm ổn thôi nói
đúng quảng cáo hơi rộng mọi người câng nhắc đặt,Normal,đúng quảng_cáo hơi rộng mọi người câng nhắc đặt
ma y da la ma se,Positive,ma y da la ma se
cơm cháy bể vụn bể miếng lớn giống hình,Negative,cơm cháy bể vụn bể miếng lớn giống hình
mực khô chất lượng mực khô vũng tàu đích thực tuyệt vời tặng quà,Positive,mực khô chất_lượng mực khô vũng_tàu đích_thực tuyệt_vời tặng quà
bé xíu ngón luôn thà tặng mình đỡ bất mãn,Negative,bé xíu ngón luôn thà tặng đỡ bất_mãn
hơi bị vụn quá ý giòn,Positive,hơi bị vụn quá ý giòn
chất liệuok kích cỡok kiểu dángok kiểu dángchất liệu lụa chất lượng thoải mái cách nhiều màu sắc thời lựa chọn lịch hợp thời thiết kế đa năng mọi dịp quần dài tôn dáng nhiều màu sắc thời lựa chọn mẹ mới an tâm a,Normal,chất liệuok kích cỡok kiểu dángok kiểu dángchất liệu lụa chất_lượng thoải_mái cách nhiều màu_sắc thời lựa_chọn lịch hợp_thời thiết_kế đa_năng mọi dịp quần dài tôn dáng nhiều màu_sắc thời lựa_chọn mẹ an_tâm a
hàng đặt hàng hàng khác,Negative,hàng đặt_hàng hàng khác
hành to chà bá luôn mùi thơm lắm hành nhỏ mình ăn khá ổn ủng hộ thêm,Positive,hành to chà bá luôn mùi thơm lắm hành nhỏ ăn khá ổn ủng_hộ thêm
hàng quảng cáo,Positive,hàng quảng_cáo
măm hơi co măn co ma nhiêu hơi thât,Positive,măm hơi co măn co ma nhiêu hơi thât
hàng mỏng quá cúc bấm nặng bấm rứt cẩn thận rách áo phù hợp mưa nhẹ thiết kế liền bỏ nút cài vào tốt mưa to hắt ướt bình thường,Negative,hàng mỏng quá cúc_bấm nặng bấm rứt cẩn_thận rách áo phù_hợp mưa nhẹ thiết_kế liền bỏ nút cài vào tốt mưa to hắt ướt bình_thường
sản phẩm sử dụng mấy ngày hề bị va đập rơi rớt tróc sơn dính bột sơn vào ngón,Negative,sản_phẩm sử_dụng mấy ngày hề bị va_đập rơi_rớt tróc sơn dính bột sơn vào ngón
l trẻ e nhỏ xíu y mình,Negative,l trẻ e nhỏ_xíu y
đáng tiền đồng ý mùi hương độ lưu hương,Normal,đáng tiền đồng_ý mùi hương độ lưu_hương
nhận hàng đúng mãu lần nầy thất vọng tính hàng sản phẩm sản phẩm miễn hàng tôi sản phẩm tính tiền hàng dám hàng nầy muốn ẩn làm ăn dối trá khách trực tiếp thất vọng hết quá tệ,Negative,nhận hàng đúng mãu lần nầy thất_vọng tính hàng sản_phẩm sản_phẩm miễn hàng tôi sản_phẩm tính tiền hàng dám hàng nầy muốn ẩn làm_ăn dối_trá khách trực_tiếp thất_vọng hết quá tệ
rât tôt rât ơn rât nhiêu đồng ý đồng ý đồng ý đồng ý,Positive,rât tôt rât ơn rât nhiêu đồng_ý đồng_ý đồng_ý đồng_ý
dùng thấy cỡ đầu vào vặng ống vòi nước mình dùng cần chế nhiều kích cỡ đầu vào,Positive,dùng thấy cỡ đầu vào vặng ống vòi_nước dùng chế nhiều kích_cỡ đầu_vào
mùi hôi bị chảy nước hơi thấy vọg,Negative,mùi hôi bị chảy nước hơi thấy vọg
mỏng dính,Negative,mỏng_dính
cân thiếu g tính luôn hủ,Negative,cân thiếu g tính luôn hủ
mình nhận hàng cá ướt quá hôi nhìn vào cảm tình mấy ơi,Positive,nhận hàng cá ướt quá hôi nhìn vào cảm_tình mấy ơi
khô gà giòn mình ăn thấy xương gà bị đen hủ chú ý sữa hổi chúc bán đắt,Normal,khô gà giòn ăn thấy xương gà bị đen hủ chú_ý sữa hổi chúc bán đắt
nhận đúng hàng đặt thất vọng,Negative,nhận đúng hàng đặt thất_vọng
giống mùi dầu gội đầu,Normal,giống mùi dầu_gội đầu
đây vn tẩm đường kkhông phải nâu ấn độ sấy lạnh lẫn nhiều hạt đen lâu thất,Negative,đây vn tẩm đường kkhông phải nâu ấn_độ sấy lạnh lẫn nhiều hạt đen lâu thất
cách đóng gói hàng chợ,Negative,cách đóng_gói hàng_chợ
rẻ tiền làm thể chơi thể dáng mềm dễ xếp đẹp,Positive,rẻ_tiền làm thể chơi thể dáng mềm dễ xếp đẹp
hàng đóng gói kĩ ăn biết mặn,Negative,hàng đóng_gói kĩ ăn biết mặn
giới thiệu giấy trắng giấy nâu,Normal,giới_thiệu giấy trắng giấy nâu
đóng gói cẩn thận hàng hành củ đều nhìn,Positive,đóng_gói cẩn_thận hàng hành củ đều nhìn
chất liệu thoáng khí giúp ngày thoải mái nhiều kích cỡ lựa chọn đế su bền bỉ sử dụng lâu dài thiết kế thời tạo diện mạo cách,Positive,chất_liệu thoáng_khí giúp ngày thoải_mái nhiều kích_cỡ lựa_chọn đế su bền_bỉ sử_dụng lâu_dài thiết_kế thời tạo diện_mạo cách
ăn thử ghét nhất lạp xưởng hút chân,Negative,ăn thử ghét nhất lạp_xưởng hút chân
tặng kèm chứ đẹp da loại chất tốt rõ dùng vào việc,Normal,tặng kèm chứ đẹp da loại chất tốt rõ dùng vào việc
độ bám dính quảng cáo,Negative,độ bám dính quảng_cáo
khô nhìn rất đóng gói đẹp mắt cẩn thận lắm cảm ơn chúc máy bán đắt,Positive,khô nhìn đóng_gói đẹp_mắt cẩn_thận lắm cảm_ơn chúc máy bán đắt
món ăn nhẹ phải thử tuyệt vời sẻ bạn bè hỗn hợp vị nguyên liệu tươi chất lượng hoàn hảo việc ăn vặt,Positive,món ăn nhẹ phải thử tuyệt_vời sẻ bạn_bè hỗn_hợp vị nguyên_liệu tươi chất_lượng hoàn_hảo việc ăn vặt
hàng đúng quảng cáo giây mỏng bở quảng cáo mọi người hàng uy tín giấy đen xì mục nát đúng đầu dê bán thịt chó rất hài lòng,Negative,hàng đúng quảng_cáo giây mỏng bở quảng_cáo mọi người hàng uy_tín giấy đen xì mục_nát đúng đầu dê bán thịt chó hài_lòng
hành ấn độ chính gốc chất lượng hương vị tuyệt vời thêm hương vị độc đáo công thức,Positive,hành ấn_độ chính gốc chất_lượng hương_vị tuyệt_vời thêm hương_vị độc_đáo công_thức
hàng đóng gói cẩn thận sản phầm đúng quảng cáo đây quà tặng cảm ơn,Positive,hàng đóng_gói cẩn_thận sản phầm đúng quảng_cáo đây quà tặng cảm_ơn
lòng hỗ trợ đổi hàng giúp mình sản phẩm giống,Negative,lòng hỗ_trợ đổi hàng giúp sản_phẩm giống
gr mực tặng gr thực chất mực trị giá kì,Negative,gr mực tặng gr thực_chất mực trị_giá kì
muối hủ thôi,Normal,muối hủ thôi
mới ăn thấy okhơi ít cá chút chấp nhận,Positive,ăn thấy okhơi ít cá chút chấp_nhận
chất lượng đáng tiền hương thơm,Negative,chất_lượng đáng tiền hương thơm
khăn khá đẹp mềm đóng gói kỹ chất liệumềm đúng kích thước đáng tiềnchấp nhận độ bềnphải sử dụng,Normal,khăn khá đẹp mềm đóng_gói kỹ chất liệumềm đúng kích_thước đáng tiềnchấp nhận độ bềnphải sử_dụng
to hình ăn tạm ổn,Normal,to hình ăn tạm ổn
hi tương lămvi hơinhưng rôi thư ti thây rât thơm ngươinên hô vi sư thât tiêp hô,Negative,hi tương lămvi hơinhưng rôi thư ti thây rât thơm ngươinên hô vi sư thât tiêp hô
dễ dàng làm sạch bảo quản giày đa năng phù hợp nhiều hoạt động giày chạy bộ thời bền bỉ,Positive,dễ_dàng làm sạch bảo_quản giày đa_năng phù_hợp nhiều hoạt_động giày chạy bộ thời bền_bỉ
hàng cận quá,Negative,hàng cận quá
vài hột bị hư,Positive,vài hột bị hư
tặng mực bé xíu,Positive,tặng mực bé xíu
hành tím to khổng lồchắc chắn hàng tq rồithôi bớt ăn đồ hiểm,Positive,hành tím to khổng lồchắc chắn hàng tq rồithôi bớt ăn đồ hiểm
hàng đóng gói cẩn thận ủng hộ tiếp vào lần tới,Positive,hàng đóng_gói cẩn_thận ủng_hộ tiếp vào lần tới
nhìn ổn củ to đến bất thường biết phải hàng quốc hương vịchưa sử dụng chất lượngkhông rõ,Positive,nhìn ổn củ to đến bất_thường biết phải hàng quốc hương vịchưa sử_dụng chất lượngkhông rõ
mùi vị nhận hàng đúng quảng cáo đóng gói tốt hàng,Positive,mùi_vị nhận hàng đúng quảng_cáo đóng_gói tốt hàng
cơm cháy kì nhiều vụn dầu giòn,Negative,cơm cháy kì nhiều vụn dầu giòn
khô đợt bằng đợt trước giá tiền cùng nơi sản xuất,Normal,khô đợt bằng đợt trước giá tiền cùng nơi sản_xuất
đẹp dùng tuần bình bị toát hơi lạnh,Negative,đẹp dùng tuần bình bị toát hơi lạnh
trái cây giòn giá rẻ,Positive,trái_cây giòn giá rẻ
số luôn,Positive,số luôn
ống mềm quá hiệu quả,Negative,ống mềm quá hiệu_quả
hàng quá tệdây bị chảy nhựa rít dính nói chất lượng kém dây mỏng hàng lâu xứng giá tiền,Negative,hàng quá tệdây bị chảy nhựa rít dính nói chất_lượng kém dây mỏng hàng lâu xứng giá tiền
khô hơi ẩm giòn nấp hợp lổng lẻo màng phủ vị hơi ngọt giá tạm chấp nhận,Normal,khô hơi ẩm giòn nấp hợp lổng lẻo màng phủ vị hơi ngọt giá tạm chấp_nhận
nhận hàng mùi thơm nhẹ rất nói đặt k thơm k xe ô tô kg thơm lắm rất tệ k tạm chấp nhận nói dầu thơm giá xe thôi,Normal,nhận hàng mùi thơm nhẹ nói đặt k thơm k xe ô_tô kg thơm lắm tệ k tạm chấp_nhận nói dầu thơm giá xe thôi
nhân viên hàng nhanhnhiệt tìnhdày nhẹêm thoải mái,Positive,nhân_viên hàng nhanhnhiệt tìnhdày nhẹêm thoải_mái
áo hơi sấu dống họa giầy quá chán,Negative,áo hơi sấu dống hoạ giầy quá chán
phải khô ướt nhẹp hút chân dùng chiên nấu chống cháy tính giá hơi mắc mấy người sẵn tiền,Positive,phải khô ướt nhẹp hút chân dùng chiên nấu chống cháy tính giá hơi mắc mấy người sẵn tiền
khô cá,Positive,khô cá
gạo lứt tặng mực siêu bự mấy đứa nhỏ mình biết cười thôi nó quá to,Positive,gạo lứt tặng mực siêu bự mấy đứa nhỏ biết cười thôi nó quá to
quần màu be xấu lắm giống ảnh mọi người màu khác màu kiểu vàng quần cảnh sát thông mở sốc quá mọi người,Negative,quần màu be xấu lắm giống ảnh mọi người màu khác màu kiểu vàng quần cảnh_sát thông mở sốc quá mọi người
quân rông sưa mât thêm k buôn,Normal,quân rông sưa mât thêm k buôn
xài đồng ý,Normal,xài đồng_ý
sản phẩm đung mô ta tư vân nhiêt đê thương co tăng bôt nghê tăng luôn,Positive,sản_phẩm đung mô ta tư vân nhiêt đê thương co tăng bôt nghê tăng luôn
đúng sản phẩm đặt,Negative,đúng sản_phẩm đặt
mắm ăn cá quá ít chủ yếu nước ớt thôi,Negative,mắm ăn cá quá ít chủ_yếu nước ớt thôi
khô gà khô hơi ngọt bữa ủng hộ,Negative,khô gà khô hơi ngọt bữa ủng_hộ
rất tệ trước khô gà nhiều lần thấy khô thử ngờ chất lượng quá tệ phẩm màu rất đậm ăn vài miếng thấy tê lưỡi thịt mùi hôi vị rất lạ bã giống khô làm thịt tươi tôi phải bỏ nguyên hủ dám ăn,Negative,tệ trước khô gà nhiều lần thấy khô thử ngờ chất_lượng quá tệ phẩm màu đậm ăn vài miếng thấy tê lưỡi thịt mùi hôi vị lạ bã giống khô làm_thịt tươi tôi phải bỏ nguyên hủ dám ăn
đúng hàng làm ăn uy tín mình,Positive,đúng hàng làm_ăn uy_tín
hàng tốt,Positive,hàng tốt
nhận khô tưởng nhận mắm thối khủng luôn mềm nhũn thật chứ nhắn,Negative,nhận khô tưởng nhận mắm thối khủng luôn mềm_nhũn thật chứ nhắn
phù hợp da dầu bôi lên lớp dính mặt,Negative,phù_hợp da_dầu bôi lên_lớp dính mặt
hàng lớn chất lượn khác hoàn toàn nhỏ k bạn,Negative,hàng lớn chất lượn khác hoàn_toàn nhỏ k
đặt sản phẩm hoàng dũng sản phẩm khác,Negative,đặt sản_phẩm hoàng dũng sản_phẩm khác
chất lượngchưa dùng lên biết kết cấucũng dùng lên biết hiệu quảcũng thử lên biết,Positive,chất lượngchưa dùng lên biết kết cấucũng dùng lên biết hiệu quảcũng thử lên biết
giảm tiếng ồn trải nghiệm sống động thời lượng lâu dùng thời dài cuộc gọi hd tiếp rõ ràng,Normal,giảm tiếng ồn trải_nghiệm sống_động thời_lượng lâu dùng thời dài cuộc_gọi hd tiếp rõ_ràng
ok măng đen vàng lẫn lộn chẩm chéo đầy hũ thấy hài lòng lắm rút nghiệm,Positive,ok măng đen vàng lẫn_lộn chẩm chéo đầy hũ thấy hài_lòng lắm rút nghiệm
hàng bể,Negative,hàng bể
rẻ tiền chất lượng rất loãng đóng gói cẩn thận hàng nhận bị móp méo bể gãy mùi thơm nguyên bản sử dụng biết dị ứng,Negative,rẻ_tiền chất_lượng loãng đóng_gói cẩn_thận hàng nhận bị móp méo bể gãy mùi thơm nguyên_bản sử_dụng biết dị_ứng
hình chụp loại khác hàng loại khác,Negative,hình chụp loại khác hàng loại khác
hàng gọn lẹ đóng hộp đẹp lắm ăn khá,Normal,hàng gọn lẹ đóng_hộp đẹp lắm ăn khá
quá mỏng dễ rách dẻo quảng cáo hộp bị rách móp méo í,Normal,quá mỏng dễ rách dẻo quảng_cáo hộp bị rách móp méo í
mùi vịcó thể gặp người dân ở đây ngày đầu,Positive,mùi vịcó thể gặp người_dân ở đây ngày đầu
sản phẩm làm ăn tâm đánh giá nhắn riêng,Negative,sản_phẩm làm_ăn tâm đánh_giá nhắn riêng
chương trình mô tả tặng hổng ml đến tuýp màu,Negative,chương_trình mô_tả tặng hổng ml đến tuýp màu
củ to mình rất hành lòng bạn mình ủng hộ lâu dài mình đặt đơn củ hành khác hành to chắc rất hài lòng chúc thật đắt khách,Positive,củ to hành lòng ủng_hộ lâu_dài đặt đơn củ hành khác hành to chắc hài_lòng chúc thật đắt khách
mẫu mã đẹp hàng biết hiệu quả,Positive,mẫu_mã đẹp hàng biết hiệu_quả
